build_y,year,month,day,dong,bo_price,mo_price,apt_nm,size,jibun,ji_code,floor
2007,2021,8,18, 원효로1가,"    16,000",         0,세종빌리지2차,35.8,17-33,11170,5
2016,2021,8,20, 원효로1가,"    26,000",         0,(13-8),27.71,13-8,11170,3
2020,2021,8,23, 원효로1가,"    20,000",         0,(13-25),21.88,13-25,11170,2
2005,2021,8,24, 원효로1가,"    10,000",        70,(17-10),76.35,17-10,11170,2
2021,2021,8,25, 원효로1가,"    28,000",         0,스타힐,29.95,51-1,11170,3
2020,2021,8,30, 원효로1가,"    10,000",        48,(13-25),15.3,13-25,11170,4
2019,2021,8,1, 원효로2가,"    25,000",        20,뉴캐슬빌B,29.56,80-3,11170,2
2017,2021,8,9, 원효로2가,"    31,000",         0,동부하우스,28.4,76-29,11170,4
2017,2021,8,9, 원효로2가,"    24,700",         0,대로빌,29.33,78-3,11170,4
2017,2021,8,17, 원효로2가,"    22,050",         0,동부하우스,29.28,76-29,11170,2
2020,2021,8,7, 신창동,"    22,000",         0,미샹보르6차,27.38,56-6,11170,3
2019,2021,8,7, 산천동,"    21,000",         0,해담은빌,38.85,1-17,11170,4
2013,2021,8,3, 원효로3가,       500,        45,라온빌,12.46,251-9,11170,5
2021,2021,8,3, 원효로3가,"    29,000",         0,경원하우스,29.76,100,11170,5
2019,2021,8,4, 원효로3가,"    19,950",         0,금강프라임빌,23.86,240-1,11170,2
2021,2021,8,4, 원효로3가,"    16,000",         0,뉴캐슬빌 원효로,19.39,1-64,11170,2
2013,2021,8,6, 원효로3가,"     2,000",        63,파크팰리스,30.16,184-1,11170,4
2021,2021,8,9, 원효로3가,"    23,000",         0,경원하우스,29.89,100,11170,3
2019,2021,8,12, 원효로3가,"    18,900",         0,금강프라임빌,24.13,240-1,11170,2
2013,2021,8,13, 원효로3가,"    13,650",         0,금와주택,23.04,251-7,11170,3
2021,2021,8,16, 원효로3가,"    27,000",         0,경원하우스,29.52,100,11170,5
2021,2021,8,17, 원효로3가,"    22,000",         0,경원하우스,29.17,100,11170,2
2021,2021,8,20, 원효로3가,"    26,000",         0,경원하우스,28.92,100,11170,4
2021,2021,8,21, 원효로3가,"    12,000",         0,원효리치빌,17.07,143,11170,2
2021,2021,8,24, 원효로3가,"    17,000",         0,뉴캐슬빌 원효로,19.39,1-64,11170,3
2021,2021,8,28, 원효로3가,"    17,000",         0,뉴캐슬빌 원효로,16.07,1-64,11170,3
2021,2021,8,30, 원효로3가,"    30,000",         0,경원하우스,29.59,100,11170,2
2021,2021,8,31, 원효로3가,"    16,000",         0,뉴캐슬빌 원효로,24.25,1-64,11170,2
2019,2021,8,7, 원효로4가,"    19,950",         0,금강프라임빌,29.34,96-2,11170,4
2019,2021,8,27, 원효로4가,"    22,000",         0,29-1,29.83,29-1,11170,2
2019,2021,8,1, 효창동,"    25,200",         0,효창신비빌A,29.83,2-41,11170,1
2017,2021,8,3, 효창동,"    25,200",         0,127-10,26.13,127-10,11170,4
2019,2021,8,4, 효창동,"    24,150",         0,H파크빌,28.57,2-15,11170,2
2018,2021,8,4, 효창동,"    30,000",         0,금강프라임빌(5-23),33.29,5-23,11170,6
2006,2021,8,6, 효창동,"    30,250",         0,두리파크빌(5-163),76.35,5-163,11170,4
2016,2021,8,6, 효창동,"    26,700",         0,금강프라임빌,34.97,5-22,11170,5
2017,2021,8,6, 효창동,"    24,000",         0,대명팰리스(5-88),28.68,5-88,11170,4
2008,2021,8,6, 효창동,"    24,000",         0,(5-477),50.36,5-477,11170,5
2016,2021,8,7, 효창동,"    25,200",         0,금강프라임빌,35.74,5-22,11170,4
2016,2021,8,7, 효창동,"    24,150",         0,효창밸류B동,28.45,5-821,11170,3
2019,2021,8,8, 효창동,"    29,400",         0,효창신비빌A,29.84,2-41,11170,4
2013,2021,8,9, 효창동,"     1,000",        45,5-222,13.68,5-222,11170,3
2019,2021,8,10, 효창동,"    24,500",         0,효창신비빌A,29.83,2-41,11170,3
2019,2021,8,10, 효창동,"    23,600",         0,H파크빌,29.76,2-15,11170,3
2003,2021,8,11, 효창동,"    24,000",         0,일로아트빌,39.96,240-9,11170,4
2018,2021,8,13, 효창동,"    15,900",        25,(5-676),29.2,5-676,11170,2
2008,2021,8,14, 효창동,"    24,000",         0,효창팰리스빌(5-573),53.04,5-573,11170,5
2007,2021,8,14, 효창동,"    18,500",         0,한서빌라(B동),43.12,5-305,11170,4
2021,2021,8,14, 효창동,"    30,000",         0,(5-152),29.88,5-152,11170,3
2009,2021,8,14, 효창동,"    30,450",         0,지에스빌(5-623),60.1,5-623,11170,4
